time,observed_speed,target_speed,observed_distance
1711027916.676741,0.43769876398177915,0.25,0.0
1711027916.723522,0.3579513770463212,0.25,0.0
1711027916.785805,0.2379013734096459,0.25,0.0
1711027916.832434,0.11855503308160241,0.25,0.0
1711027916.87955,0.08641181676301521,0.25,0.0
1711027916.926546,0.1584420757089326,0.25,0.0
1711027916.972156,0.2985463088341594,0.25,0.0
1711027917.034281,0.4330896343025394,0.25,0.0
1711027917.066144,0.434991210104862,0.25,0.009999999999999787
1711027917.129012,0.3332227472566432,0.25,0.009999999999999787
1711027917.174632,0.21376279033312934,0.25,0.009999999999999787
1711027917.235988,0.10438238824046561,0.25,0.009999999999999787
1711027917.267098,0.13180606451081125,0.25,0.009999999999999787
1711027917.330781,0.2534253343984895,0.25,0.009999999999999787
1711027917.378842,0.39281959621176554,0.25,0.009999999999999787
1711027917.425843,0.5184759037132095,0.25,0.009999999999999787
1711027917.473524,0.46235311565352516,0.25,0.009999999999999787
1711027917.52081,0.3416377241935068,0.25,0.009999999999999787
1711027917.583612,0.22243474187525825,0.25,0.019999999999999574
1711027917.630309,0.10943109158837029,0.25,0.019999999999999574
1711027917.678263,0.03230536460415939,0.25,0.019999999999999574
1711027917.739706,0.09776810286412724,0.25,0.019999999999999574
1711027917.771642,0.23828944479634992,0.25,0.019999999999999574
1711027917.818797,0.3649622224938766,0.25,0.019999999999999574
1711027917.882072,0.3929951176678007,0.25,0.019999999999999574
1711027917.913175,0.31569851608812916,0.25,0.019999999999999574
1711027917.975045,0.19647835124533344,0.25,0.009999999999999787
1711027918.021963,0.10953666765220248,0.25,0.009999999999999787
1711027918.084348,0.16008300227100689,0.25,0.009999999999999787
1711027918.131196,0.2981169493729156,0.25,0.009999999999999787
1711027918.178224,0.4365416043267926,0.25,0.009999999999999787
1711027918.223832,0.5498519057573591,0.25,0.009999999999999787
1711027918.271435,0.46337553384409397,0.25,0.009999999999999787
1711027918.31773,0.3431700639113741,0.25,0.009999999999999787
1711027918.382068,0.22426813634391068,0.25,0.009999999999999787
1711027918.428794,0.10881793493656752,0.25,0.009999999999999787
